source_survey_itemID	target_survey_itemID	Study	module	item_type	item_name	item_value	source_text	target_text
ESS_R08_2016_ENG_SOURCE_4	ESS_R08_2016_GER_DE_0	ESS_R08_2016	A - Media; social trust	INTRODUCTION	A1		(START DATE AND TIME IN ALL COUNTRIES)	Bitte geben Sie das aktuelle Datum ein:
ESS_R08_2016_ENG_SOURCE_3	ESS_R08_2016_GER_DE_1	ESS_R08_2016	A - Media; social trust	INTRODUCTION	A1		(Use 24 hour clock)	Tag   Monat   Jahr
	ESS_R08_2016_GER_DE_2	ESS_R08_2016	A - Media; social trust	INTRODUCTION	A1			Int: Bitte notieren Sie nun die Uhrzeit.
ESS_R08_2016_ENG_SOURCE_1	ESS_R08_2016_GER_DE_3	ESS_R08_2016	A - Media; social trust	INTRODUCTION	A1		(dd/mm/yy)	(24 Stunden Format)
ESS_R08_2016_ENG_SOURCE_0		ESS_R08_2016	A - Media; social trust	INSTRUCTION	A1		INTERVIEWER ENTER START DATE:	
ESS_R08_2016_ENG_SOURCE_2		ESS_R08_2016	A - Media; social trust	INSTRUCTION	A1		INTERVIEWER ENTER START TIME:	
ESS_R08_2016_ENG_SOURCE_7	ESS_R08_2016_GER_DE_6	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A1		INTERVIEWER: If no time spent, enter 00 00.	INTERVIEWER: WENN KEINE ZEIT DAMIT VERBRACHT WIRD, 00 00 EINTRAGEN
ESS_R08_2016_ENG_SOURCE_8	ESS_R08_2016_GER_DE_7	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A1		WRITE IN DURATION:	INTERVIEWER: ZEIT EINTRAGEN
ESS_R08_2016_ENG_SOURCE_9	ESS_R08_2016_GER_DE_8	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A1		hours	Stunden
ESS_R08_2016_ENG_SOURCE_10	ESS_R08_2016_GER_DE_9	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A1		minutes	Minuten
ESS_R08_2016_ENG_SOURCE_5	ESS_R08_2016_GER_DE_4	ESS_R08_2016	A - Media; social trust	REQUEST	A1		On a typical day, about how much time do you spend watching, reading or listening to news about politics and current affairs?	Wie viel Zeit verbringen Sie ungefähr an einem gewöhnlichen Tag damit, Nachrichten zum politischen Geschehen anzuschauen, zu lesen oder zu hören?
ESS_R08_2016_ENG_SOURCE_6	ESS_R08_2016_GER_DE_5	ESS_R08_2016	A - Media; social trust	REQUEST	A1		Please give your answer in hours and minutes.	Bitte geben Sie die Zeit in Stunden und Minuten an.
ESS_R08_2016_ENG_SOURCE_11	ESS_R08_2016_GER_DE_10	ESS_R08_2016	A - Media; social trust	RESPONSE	A1	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_12	ESS_R08_2016_GER_DE_11	ESS_R08_2016	A - Media; social trust	RESPONSE	A1	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_13	ESS_R08_2016_GER_DE_12	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A2		CARD 1	INTERVIEWER: BITTE LISTE 1 VORLEGEN.
ESS_R08_2016_ENG_SOURCE_14	ESS_R08_2016_GER_DE_13	ESS_R08_2016	A - Media; social trust	REQUEST	A2		People can use the internet on different devices such as computers, tablets and smartphones.	Man kann das Internet auf verschiedenen Geräten nutzen, wie beispielsweise Computer, Tablets und Smartphones.
ESS_R08_2016_ENG_SOURCE_15	ESS_R08_2016_GER_DE_14	ESS_R08_2016	A - Media; social trust	REQUEST	A2		How often do you use the internet on these or any other devices, whether for work or personal use?	Wie oft nutzen Sie das Internet auf so einem oder einem anderen Gerät, sei es bei der Arbeit oder für private Zwecke?
ESS_R08_2016_ENG_SOURCE_16	ESS_R08_2016_GER_DE_15	ESS_R08_2016	A - Media; social trust	RESPONSE	A2	0	Never	Nie
ESS_R08_2016_ENG_SOURCE_17	ESS_R08_2016_GER_DE_16	ESS_R08_2016	A - Media; social trust	RESPONSE	A2	1	Only occasionally	Nur ab und zu
ESS_R08_2016_ENG_SOURCE_18	ESS_R08_2016_GER_DE_17	ESS_R08_2016	A - Media; social trust	RESPONSE	A2	2	A few times a week	Ein paarmal pro Woche
ESS_R08_2016_ENG_SOURCE_19	ESS_R08_2016_GER_DE_18	ESS_R08_2016	A - Media; social trust	RESPONSE	A2	3	Most days	An den meisten Tagen
ESS_R08_2016_ENG_SOURCE_20	ESS_R08_2016_GER_DE_19	ESS_R08_2016	A - Media; social trust	RESPONSE	A2	4	Every day	Jeden Tag
ESS_R08_2016_ENG_SOURCE_21	ESS_R08_2016_GER_DE_20	ESS_R08_2016	A - Media; social trust	RESPONSE	A2	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_22	ESS_R08_2016_GER_DE_21	ESS_R08_2016	A - Media; social trust	RESPONSE	A2	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_23		ESS_R08_2016	A - Media; social trust	INTRODUCTION	A3		ASK IF MOST DAYS OR EVERY DAY AT A2 (code 4 or 5)	
ESS_R08_2016_ENG_SOURCE_26	ESS_R08_2016_GER_DE_24	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A3		WRITE IN DURATION:	INTERVIEWER: ZEIT EINTRAGEN
ESS_R08_2016_ENG_SOURCE_27	ESS_R08_2016_GER_DE_25	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A3		hours	Stunden
ESS_R08_2016_ENG_SOURCE_28	ESS_R08_2016_GER_DE_26	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A3		minutes	Minuten
ESS_R08_2016_ENG_SOURCE_24	ESS_R08_2016_GER_DE_22	ESS_R08_2016	A - Media; social trust	REQUEST	A3		On a typical day, about how much time do you spend using the internet on a computer, tablet, smartphone or other device, whether for work or personal use?	Wie lange ungefähr nutzen Sie an einem gewöhnlichen Tag das Internet auf einem Computer, Tablet, Smartphone oder einem anderen Gerät, sei es bei der Arbeit oder für private Zwecke?
ESS_R08_2016_ENG_SOURCE_25	ESS_R08_2016_GER_DE_23	ESS_R08_2016	A - Media; social trust	REQUEST	A3		Please give your answer in hours and minutes.	Bitte geben Sie die Zeit in Stunden und Minuten an.
ESS_R08_2016_ENG_SOURCE_29	ESS_R08_2016_GER_DE_27	ESS_R08_2016	A - Media; social trust	RESPONSE	A3	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_30	ESS_R08_2016_GER_DE_28	ESS_R08_2016	A - Media; social trust	RESPONSE	A3	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_32	ESS_R08_2016_GER_DE_29	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A4		CARD 2	Bitte benutzen Sie jetzt Liste 2.
ESS_R08_2016_ENG_SOURCE_31	ESS_R08_2016_GER_DE_31	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A4		ASK ALL	Bitte sagen Sie es mir anhand dieser Skala von 0 bis 10.
ESS_R08_2016_ENG_SOURCE_34	ESS_R08_2016_GER_DE_32	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A4		Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.	0 bedeutet, dass man nicht vorsichtig genug sein kann, und 10 bedeutet, dass man den meisten Menschen vertrauen kann.
ESS_R08_2016_ENG_SOURCE_33	ESS_R08_2016_GER_DE_30	ESS_R08_2016	A - Media; social trust	REQUEST	A4		Using this card, generally speaking, would you say that most people can be trusted, or that you can't be too careful  in dealing with people?	Ganz allgemein gesprochen: Glauben Sie,dass man den meisten Menschen vertrauen kann, oder dass man im Umgang mit anderen Menschen nicht vorsichtig genug sein kann?
ESS_R08_2016_ENG_SOURCE_35	ESS_R08_2016_GER_DE_33	ESS_R08_2016	A - Media; social trust	RESPONSE	A4	0	You can't be too careful	Man kann nicht vorsichtig genug sein
ESS_R08_2016_ENG_SOURCE_36	ESS_R08_2016_GER_DE_34	ESS_R08_2016	A - Media; social trust	RESPONSE	A4	1	Most people can be trusted	Den meisten Menschen kann man vertrauen
ESS_R08_2016_ENG_SOURCE_37	ESS_R08_2016_GER_DE_35	ESS_R08_2016	A - Media; social trust	RESPONSE	A4	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_38	ESS_R08_2016_GER_DE_36	ESS_R08_2016	A - Media; social trust	RESPONSE	A4	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_39	ESS_R08_2016_GER_DE_37	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A5		CARD 3	Bitte benutzen Sie Liste 3.
ESS_R08_2016_ENG_SOURCE_40	ESS_R08_2016_GER_DE_38	ESS_R08_2016	A - Media; social trust	REQUEST	A5		Using this card, do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair?	Glauben Sie, dass die meisten Menschen versuchen, Sie auszunutzen, wenn sie die Gelegenheit dazu haben, oder versuchen die meisten Menschen, sich fair zu verhalten?
ESS_R08_2016_ENG_SOURCE_41	ESS_R08_2016_GER_DE_39	ESS_R08_2016	A - Media; social trust	RESPONSE	A5	0	Most people would try to take advantage of me	Die meisten Menschen versuchen, mich auszunutzen
ESS_R08_2016_ENG_SOURCE_42	ESS_R08_2016_GER_DE_40	ESS_R08_2016	A - Media; social trust	RESPONSE	A5	1	Most people would try to be fair	Die meisten Menschen versuchen, sich fair zu verhalten
ESS_R08_2016_ENG_SOURCE_43	ESS_R08_2016_GER_DE_41	ESS_R08_2016	A - Media; social trust	RESPONSE	A5	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_44	ESS_R08_2016_GER_DE_42	ESS_R08_2016	A - Media; social trust	RESPONSE	A5	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_48	ESS_R08_2016_GER_DE_45	ESS_R08_2016	A - Media; social trust	INTRODUCTION	A6		ENTER END TIME OF SECTION A:	ZEITMESSUNG NACH BLOCK A:
ESS_R08_2016_ENG_SOURCE_49	ESS_R08_2016_GER_DE_46	ESS_R08_2016	A - Media; social trust	INTRODUCTION	A6		(Use 24 hour clock)	(24 Stunden Format)
ESS_R08_2016_ENG_SOURCE_45	ESS_R08_2016_GER_DE_44	ESS_R08_2016	A - Media; social trust	INSTRUCTION	A6		CARD 4	Bitte benutzen Sie dafür Liste 4.
ESS_R08_2016_ENG_SOURCE_47		ESS_R08_2016	A - Media; social trust	INSTRUCTION	A6		Please use this card.	
ESS_R08_2016_ENG_SOURCE_46	ESS_R08_2016_GER_DE_43	ESS_R08_2016	A - Media; social trust	REQUEST	A6		Would you say that most of the time people try to be helpful or that they are mostly looking out for themselves?	Und glauben Sie, dass die Menschen meistens versuchen, hilfsbereit zu sein, oder dass die Menschen meistens auf den eigenen Vorteil bedacht sind?
ESS_R08_2016_ENG_SOURCE_50	ESS_R08_2016_GER_DE_47	ESS_R08_2016	A - Media; social trust	RESPONSE	A6	0	People mostly look out for themselves	Die Menschen sind meistens auf den eigenen Vorteil bedacht
ESS_R08_2016_ENG_SOURCE_51	ESS_R08_2016_GER_DE_48	ESS_R08_2016	A - Media; social trust	RESPONSE	A6	1	People mostly try to be helpful	Die Menschen versuchen meistens, hilfsbereit zu sein
ESS_R08_2016_ENG_SOURCE_52	ESS_R08_2016_GER_DE_49	ESS_R08_2016	A - Media; social trust	RESPONSE	A6	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_53	ESS_R08_2016_GER_DE_50	ESS_R08_2016	A - Media; social trust	RESPONSE	A6	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_54	ESS_R08_2016_GER_DE_51	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INTRODUCTION	B1		Now we want to ask a few questions about politics and government.	Nun möchten wir Ihnen einige Fragen über Staat und Politik stellen.
ESS_R08_2016_ENG_SOURCE_56	ESS_R08_2016_GER_DE_54	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INSTRUCTION	B1		READ OUT	BITTE VORLESEN.
ESS_R08_2016_ENG_SOURCE_55	ESS_R08_2016_GER_DE_52	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B1		How interested would you say you are in politics – are you...	Wie sehr interessieren Sie sich für Politik?
	ESS_R08_2016_GER_DE_53	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B1			Sind Sie...
ESS_R08_2016_ENG_SOURCE_57	ESS_R08_2016_GER_DE_55	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	0	very interested,	sehr interessiert,
ESS_R08_2016_ENG_SOURCE_58	ESS_R08_2016_GER_DE_56	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	1	quite interested,	ziemlich interessiert,
ESS_R08_2016_ENG_SOURCE_59	ESS_R08_2016_GER_DE_57	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	2	hardly interested,	wenig interessiert,
ESS_R08_2016_ENG_SOURCE_60	ESS_R08_2016_GER_DE_58	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	3	or, not at all interested?	oder überhaupt nicht interessiert?
ESS_R08_2016_ENG_SOURCE_61	ESS_R08_2016_GER_DE_59	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_62	ESS_R08_2016_GER_DE_60	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_63	ESS_R08_2016_GER_DE_61	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INSTRUCTION	B2		CARD 5	LISTE 5 VORLEGEN
ESS_R08_2016_ENG_SOURCE_64	ESS_R08_2016_GER_DE_62	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B2		How much would you say the political system in [country] allows people like you to have a say in what the government does?	Aus Ihrer Sicht: In welchem Maße gibt das politische System in Deutschland Menschen wie Ihnen eine Mitsprachemöglichkeit bei dem, was die Regierung tut?
ESS_R08_2016_ENG_SOURCE_65	ESS_R08_2016_GER_DE_63	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	0	Not at all	Überhaupt nicht
ESS_R08_2016_ENG_SOURCE_69	ESS_R08_2016_GER_DE_64	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	4	A great deal	Voll und ganz
ESS_R08_2016_ENG_SOURCE_70	ESS_R08_2016_GER_DE_65	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_71	ESS_R08_2016_GER_DE_66	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_72	ESS_R08_2016_GER_DE_67	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INSTRUCTION	B3		CARD 6	LISTE 6 VORLEGEN
ESS_R08_2016_ENG_SOURCE_73	ESS_R08_2016_GER_DE_68	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B3		How able do you think you are to take an active role in a group involved with political issues?	Wie fähig fühlen Sie sich, eine aktive Rolle in einer Gruppe zu übernehmen, die sich für politische Themen engagiert?
ESS_R08_2016_ENG_SOURCE_74	ESS_R08_2016_GER_DE_69	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	0	Not at all able	Überhaupt nicht fähig
ESS_R08_2016_ENG_SOURCE_78	ESS_R08_2016_GER_DE_70	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	4	Completely able	Voll und ganz fähig
ESS_R08_2016_ENG_SOURCE_79	ESS_R08_2016_GER_DE_71	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	777	Refusal	Antwort verweigert
ESS_R08_2016_ENG_SOURCE_80	ESS_R08_2016_GER_DE_72	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	888	Don't know	Weiß nicht
ESS_R08_2016_ENG_SOURCE_81	ESS_R08_2016_GER_DE_73	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INSTRUCTION	B4		CARD 7	LISTE 7 VORLEGEN
ESS_R08_2016_ENG_SOURCE_82	ESS_R08_2016_GER_DE_74	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B4		And how much would you say that the political system in [country] allows people like you to have an influence on politics?	Aus Ihrer Sicht: In welchem Maße gibt das politische System in Deutschland Menschen wie Ihnen die Möglichkeit, Einfluss auf die Politik zu nehmen?
ESS_R08_2016_ENG_SOURCE_83	ESS_R08_2016_GER_DE_75	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B4	0	Not at all	Überhaupt nicht
ESS_R08_2016_ENG_SOURCE_87	ESS_R08_2016_GER_DE_76	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B4	4	A great deal	Voll und ganz
ESS_R08_2016_ENG_SOURCE_88	ESS_R08_2016_GER_DE_77	ESS_R08_2016	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B4	777	Refusal	Antwort verweigert
