source_survey_itemID	target_survey_itemID	Study	module	item_type	item_name	item_value	source_text	target_text
EVS_R04_2008_ENG_GB_2950	EVS_R04_2008_GER_DE_2976	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q137		Date of the interview:	Datum des Interviews:
EVS_R04_2008_ENG_GB_2951	EVS_R04_2008_GER_DE_2977	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q137		day	Tag:
EVS_R04_2008_ENG_GB_2952	EVS_R04_2008_GER_DE_2978	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q137		month	Monat:
EVS_R04_2008_ENG_GB_2953	EVS_R04_2008_GER_DE_2979	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q137		year	Jahr:
EVS_R04_2008_ENG_GB_2954	EVS_R04_2008_GER_DE_2980	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q139		During the interview the respondent was ...	Während des Interviews war der/die Befragte...
EVS_R04_2008_ENG_GB_2960	EVS_R04_2008_GER_DE_2986	EVS_R04_2008	Administrative/Protocol Variables	INSTRUCTION	Q140		CODING INSTRUCTION: USE PRE-SPECIFIED ISO 639-1 CODES FOR ALL LANGUAGES THAT QUESTIONNAIRE IS TRANSLATED INTO	KODIERANWEISUNG: FESTGELEGTE ISO 639-1 CODES FÜR ALLE SPRACHEN VERWENDEN, IN DIE DER FRAGEBOGEN ÜBERSETZT WURDE
EVS_R04_2008_ENG_GB_2958	EVS_R04_2008_GER_DE_2984	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q140		In which language was the interview conducted?	In welcher Sprache wurde das Interview geführt?
EVS_R04_2008_ENG_GB_2959	EVS_R04_2008_GER_DE_2985	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q140		Write in:	Bitte notieren!
EVS_R04_2008_ENG_GB_2961	EVS_R04_2008_GER_DE_2987	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q140		Code	Code:
EVS_R04_2008_ENG_GB_2202	EVS_R04_2008_GER_DE_2174	EVS_R04_2008	Environment	INSTRUCTION	Q85		SHOW CARD 85 - READ OUT AND CODE ONE ANSWER PER LINE!	LISTE 85 VORLEGEN – VORGABEN VORLESEN UND EINE ANTWORT PRO ZEILE ANKREUZEN!
EVS_R04_2008_ENG_GB_2203	EVS_R04_2008_GER_DE_2175	EVS_R04_2008	Environment	REQUEST	Q85		I am now going to read out some statements about the environment.	Ich werde Ihnen nun einige Aussagen zum Thema Umwelt vorlesen.
EVS_R04_2008_ENG_GB_2204	EVS_R04_2008_GER_DE_2176	EVS_R04_2008	Environment	REQUEST	Q85		For each one, can you tell me whether you agree strongly, agree, disagree or strongly disagree with it?	Bitte sagen Sie mir jedesmal, ob Sie voll und ganz zustimmen, zustimmen, ablehnen oder stark ablehnen.
EVS_R04_2008_ENG_GB_2205	EVS_R04_2008_GER_DE_2177	EVS_R04_2008	Environment	REQUEST	Q85a		I would give part of my income if I were certain that the money would be used to prevent environmental pollution	Ich würde auf einen Teil meines Einkommens verzichten, wenn ich sicher sein könnte, dass dieses Geld dazu verwendet wird, Umweltverschmutzung zu verhindern
EVS_R04_2008_ENG_GB_2212	EVS_R04_2008_GER_DE_2184	EVS_R04_2008	Environment	REQUEST	Q85b		We are approaching the limit of the number of people the earth can support	Wir erreichen die Obergrenze an Menschen, die die Erde ernähren kann
EVS_R04_2008_ENG_GB_2219	EVS_R04_2008_GER_DE_2191	EVS_R04_2008	Environment	REQUEST	Q85c		When humans interfere with nature it often  produces disastrous consequences	Wenn Menschen in die Natur eingreifen, hat dies oft katastrophale Folgen
EVS_R04_2008_ENG_GB_2226	EVS_R04_2008_GER_DE_2198	EVS_R04_2008	Environment	REQUEST	Q85d		Human creativity will ensure that the earth remains fit to live in	Menschlicher Erfindungsreichtum wird sicherstellen, dass die Erde bewohnbar bleibt
EVS_R04_2008_ENG_GB_2233	EVS_R04_2008_GER_DE_2205	EVS_R04_2008	Environment	REQUEST	Q85e		The balance of nature is strong enough to cope with the impacts of modern industrial nations	Das Gleichgewicht der Natur ist stark genug, um mit den Einflüssen moderner Industrienationen fertig zu werden
EVS_R04_2008_ENG_GB_2240	EVS_R04_2008_GER_DE_2212	EVS_R04_2008	Environment	REQUEST	Q85f		Humans were meant to rule over the rest of nature	Die Menschen sind dazu bestimmt, über die Natur zu herrschen
EVS_R04_2008_ENG_GB_2247	EVS_R04_2008_GER_DE_2219	EVS_R04_2008	Environment	REQUEST	Q85g		If things continue on their present course, we will soon experience a major ecological catastrophe	Wenn es so weitergeht wie bisher, werden wir bald eine große ökologische Katastrophe erleben
EVS_R04_2008_ENG_GB_971	EVS_R04_2008_GER_DE_898	EVS_R04_2008	Family	INTRODUCTION	Q42		THE FOLLOWING QUESTIONS ARE ABOUT FAMILY LIFE AND MARRIAGE	Nun folgen einige Fragen über Familienleben und Ehe.
