sentence_number	batch	model	prompt	temperature	bertscore_precision	bertscore_recall	bertscore_f1	CHRF	COMET
0	2	ChatGPT 4	prompt1	0.3	0.8215030431747437	0.7867215871810913	0.8037362098693848	44.89533503704946	0.9076057076454163
1	2	ChatGPT 4	prompt1	0.3	0.9784585237503052	0.9829313158988953	0.9806898832321167	86.79387547974578	0.928398072719574
2	2	ChatGPT 4	prompt1	0.3	0.8706847429275513	0.8543950319290161	0.8624629378318787	65.99624789767317	0.8766531944274902
3	2	ChatGPT 4	prompt1	0.3	0.8536964654922485	0.8008254766464233	0.8264161944389343	60.56417765218944	0.9125834703445435
4	2	ChatGPT 4	prompt1	0.3	0.8550270199775696	0.8493075966835022	0.8521577715873718	72.50298889109187	0.8695617318153381
5	2	ChatGPT 4	prompt1	0.3	0.8404167890548706	0.7411051392555237	0.787642776966095	42.70274456946094	0.46144846081733704
6	2	ChatGPT 4	prompt1	0.3	0.7624491453170776	0.8460675477981567	0.8020849227905273	75.99993887873693	0.6989839673042297
7	2	ChatGPT 4	prompt1	0.3	0.8161811828613281	0.779054582118988	0.7971858382225037	63.072241569192336	0.8775427937507629
8	2	ChatGPT 4	prompt1	0.3	0.8477473258972168	0.7998191714286804	0.8230860829353333	64.67395077413666	0.9529666900634766
9	2	ChatGPT 4	prompt1	0.3	0.8627148270606995	0.8191616535186768	0.8403743505477905	57.94010800368915	0.9305104613304138
10	2	ChatGPT 4	prompt1	0.3	0.8241326808929443	0.8278310894966125	0.8259777426719666	38.40073304803419	0.844392716884613
11	2	ChatGPT 4	prompt1	0.3	1.0	1.0	1.0	100.0	0.9943715929985046
12	2	ChatGPT 4	prompt1	0.3	0.7366864681243896	0.7592031359672546	0.7477753162384033	58.049332309290754	0.8109188079833984
13	2	ChatGPT 4	prompt1	0.3	0.8981038331985474	0.8861571550369263	0.8920904994010925	68.95137115007081	0.8271260261535645
