sentence_number	batch	model	prompt	temperature	bertscore_precision	bertscore_recall	bertscore_f1	CHRF	COMET
0	3	ChatGPT 4	prompt4	0.3	0.8215030431747437	0.7867215871810913	0.8037362098693848	44.89533503704946	0.9076057076454163
1	3	ChatGPT 4	prompt4	0.3	0.9784585237503052	0.9829313158988953	0.9806898832321167	86.79387547974578	0.928398072719574
2	3	ChatGPT 4	prompt4	0.3	0.8947409987449646	0.928240180015564	0.9111828207969666	79.1889232731059	0.928322970867157
3	3	ChatGPT 4	prompt4	0.3	0.8536964654922485	0.8008254766464233	0.8264161944389343	60.56417765218944	0.9125834703445435
4	3	ChatGPT 4	prompt4	0.3	0.8550270199775696	0.8493075966835022	0.8521577715873718	72.50298889109187	0.8695617318153381
5	3	ChatGPT 4	prompt4	0.3	0.8404167890548706	0.7411051392555237	0.787642776966095	42.70274456946094	0.46144846081733704
6	3	ChatGPT 4	prompt4	0.3	0.7624491453170776	0.8460675477981567	0.8020849227905273	75.99993887873693	0.6989839673042297
7	3	ChatGPT 4	prompt4	0.3	0.8161811828613281	0.779054582118988	0.7971858382225037	63.072241569192336	0.8775427937507629
8	3	ChatGPT 4	prompt4	0.3	0.8477473258972168	0.7998191714286804	0.8230860829353333	64.67395077413666	0.9529666900634766
9	3	ChatGPT 4	prompt4	0.3	0.8627148270606995	0.8191616535186768	0.8403743505477905	57.94010800368915	0.9305104613304138
10	3	ChatGPT 4	prompt4	0.3	0.8772218823432922	0.8927422761917114	0.8849140405654907	69.78557641800109	0.9127894043922424
11	3	ChatGPT 4	prompt4	0.3	1.0	1.0	1.0	100.0	0.9943715929985046
12	3	ChatGPT 4	prompt4	0.3	0.7459453344345093	0.7700371742248535	0.7577998042106628	58.00048085968973	0.8331694006919861
13	3	ChatGPT 4	prompt4	0.3	0.8981038331985474	0.8861571550369263	0.8920904994010925	68.95137115007081	0.8271260261535645
14	3	ChatGPT 4	prompt4	0.3	0.9032649993896484	0.8607043027877808	0.8814712166786194	72.2478332738714	0.9255456924438477
15	3	ChatGPT 4	prompt4	0.3	0.9286923408508301	0.8980339169502258	0.9131059050559998	77.06368302203043	0.9357179999351501
16	3	ChatGPT 4	prompt4	0.3	0.939639151096344	0.9104636311531067	0.9248213171958923	79.24709022145319	0.9524208307266235
17	3	ChatGPT 4	prompt4	0.3	1.0	1.0	1.0	100.0	0.9820597171783447
18	3	ChatGPT 4	prompt4	0.3	0.8772218823432922	0.8927422761917114	0.8849140405654907	69.78557641800109	0.9127894043922424
19	3	ChatGPT 4	prompt4	0.3	1.0	1.0	1.0	100.0	0.9943715929985046
20	3	ChatGPT 4	prompt4	0.3	0.8453896641731262	0.8137605786323547	0.8292736411094666	52.9042840595997	0.7450717687606812
21	3	ChatGPT 4	prompt4	0.3	0.8598196506500244	0.8189736604690552	0.8388997316360474	48.240290074190234	0.747279942035675
22	3	ChatGPT 4	prompt4	0.3	0.9351555705070496	0.9322776198387146	0.9337143898010254	83.68652580995914	0.9388063549995422
23	3	ChatGPT 4	prompt4	0.3	0.874744713306427	0.8734554648399353	0.874099612236023	32.436107241211545	0.7758765816688538
24	3	ChatGPT 4	prompt4	0.3	0.8857182264328003	0.8647456169128418	0.8751062750816345	56.702434543991274	0.8074201345443726
25	3	ChatGPT 4	prompt4	0.3	1.0000001192092896	1.0000001192092896	1.0000001192092896	100.0	0.9909891486167908
26	3	ChatGPT 4	prompt4	0.3	0.7724387645721436	0.7902320623397827	0.781234085559845	40.66785051902206	0.8788294196128845
27	3	ChatGPT 4	prompt4	0.3	0.9999999403953552	0.9999999403953552	0.9999999403953552	100.0	0.9837085604667664
28	3	ChatGPT 4	prompt4	0.3	0.7813712954521179	0.8737788796424866	0.8249955177307129	38.00376884265436	0.9233179688453674
29	3	ChatGPT 4	prompt4	0.3	1.000000238418579	1.000000238418579	1.000000238418579	100.0	0.9875254034996033
30	3	ChatGPT 4	prompt4	0.3	0.9999997615814209	0.9999997615814209	0.9999997615814209	100.0	0.9859870076179504
31	3	ChatGPT 4	prompt4	0.3	1.0000001192092896	1.0000001192092896	1.0000001192092896	100.0	0.9899653792381287
32	3	ChatGPT 4	prompt4	0.3	0.8772218823432922	0.8927422761917114	0.8849140405654907	69.78557641800109	0.9127894043922424
33	3	ChatGPT 4	prompt4	0.3	1.0	1.0	1.0	100.0	0.9943715929985046
34	3	ChatGPT 4	prompt4	0.3	0.9102300405502319	0.9153399467468262	0.912777841091156	71.17580565136217	0.8790009617805481
35	3	ChatGPT 4	prompt4	0.3	0.9048123955726624	0.8740212321281433	0.8891503214836121	59.13107328773023	0.9101722836494446
36	3	ChatGPT 4	prompt4	0.3	0.9144510626792908	0.9189732074737549	0.9167065620422363	66.25971193950686	0.7452948093414307
37	3	ChatGPT 4	prompt4	0.3	1.0	1.0	1.0	100.0	0.9835573434829712
38	3	ChatGPT 4	prompt4	0.3	0.9099483489990234	0.9231492877006531	0.9165012240409851	68.38133830980408	0.9063510298728943
